Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
La Parolaccia Osteria Italiana,https://laparolacciausa.com,OSM (fill),01520153,La Parolaccia,Team Member,la.parolaccia@laparolacciausa.com,website,info@ndiscovered.com; ghlpevents@gmail.com; la.parolaccia@laparolacciausa.com
Crunch Fitness,https://www.crunch.com/locations/lakewood,OSM (fill),0214519,Crunch Gym,Owner,crunch.gym@crunch.com,website,info@crucnchlakewood.com; info@crunchlakewood.com; headcoach@crunchlakewood.com; crunch.gym@crunch.com
Cerritos College,https://www.cerritos.edu,OSM (fill),0272023,Accreditation Committee,President,accreditation@cerritos.edu,website,accjc@accjc.org; community@cerritos.edu; jamie@gradcomm.com; accreditation@cerritos.edu
Promenade Veterinary Hospital,https://www.promenadeveterinary.com,OSM (fill),+15624505893,,,info@promenadeveterinary.com,none,info@promenadeveterinary.com
Seal Beach Senior Center,https://www.sealbeachca.gov/Departments/Community-Services-Recreation/Parks-Facilities/Seal-Beach-Senior-Center,OSM (fill),0211027152647,Northern California,cto,northern@sealbeachca.gov,website,anguyen@sealbeachca.gov; northern@sealbeachca.gov
Shred Nations,https://www.shrednations.com/long-beach,OSM (fill),0260625,Best We,partner,best.we@shrednations.com,website,info@shrednations.com; support@shrednations.com; long-beach@shrednations.com; best.we@shrednations.com
Long Beach Guitar Shop,http://LongBeachGuitarShop.com,OSM (fill),0177379,Closer Look,Owner,closer.look@LongBeachGuitarShop.com,website,longbeachguitarrepair@gmail.com; closer.look@LongBeachGuitarShop.com
Kinetca Credit Union,https://www.kinecta.org,OSM (fill),02816782,Raj Bandaru,Chief Executive Officer,raj@kinecta.org,website,businessloanservicing@kinecta.org; info@kinectawealth.org; loanservicing@kinecta.org; pppforgiveness@kinecta.org; raj@kinecta.org
Department of Child Development,https://www.lbschools.net/departments/child-development/home,OSM (fill),0220620,Academy Award,Partner,academy@lbschools.net,website,amerino1@lbschools.net; bmoskovitz@lbschools.net; bperez7@lbschools.net; carreola1@lbschools.net; creineke@lbschools.net; csosavalderrama@lbschools.net; cyrodriguez@lbschools.net; dmyersmiller@lbschools.net; dzaid@lbschools.net; ebaul@lbschools.net; esamuels@lbschools.net; faispuro@lbschools.net; iduenas@lbschools.net; jkelanic@lbschools.net; jmercadoromero@lbschools.net; jmwilliams@lbschools.net; jriel@lbschools.net; jtapia2@lbschools.net; kan@lbschools.net; kmagana@lbschools.net; laguirre@lbschools.net; lalzugaray@lbschools.net; levans@lbschools.net; lruiz2@lbschools.net; mcastellon@lbschools.net; mlopez13@lbschools.net; mrodarte@lbschools.net; pjaimesestrada@lbschools.net; sagredano@lbschools.net; sstephens2@lbschools.net; tmbrown@lbschools.net; ttorres@lbschools.net; ytakahashi@lbschools.net; academy@lbschools.net
New Life Community Church,https://nl-cc.org,OSM (fill),0909090909,Adults Prayer,Senior,adults@nl-cc.org,website,info@nl-cc.org; andrewk@nl-cc.org; oard@nl-cc.org; adults@nl-cc.org
Taishi Kitchen,https://www.taishi.co,OSM (fill),09396530601,,,contact@taishi.co,none,contact@taishi.co
Bellflower Behavioral Health Hospital,https://www.lach-bellflower.com,OSM (fill),0260220,Artesia Blvd,Director,artesia.blvd@lach-bellflower.com,website,nancy.goglin@altahospitals.com; artesia.blvd@lach-bellflower.com
Rite Aid,https://www.riteaid.com/locations/ca/long-beach/5128-east-2nd-street.html,OSM (fill),+18632709911,Autoimmune Screen,cto,autoimmune.screen@riteaid.com,website,hello@riteaid.com; autoimmune.screen@riteaid.com
Amorcito,https://thelongbeachexchange.com/amorcito,OSM (fill),01520153,Long Beach,DIRECTOR,long.beach@thelongbeachexchange.com,website,efurnelli@edens.com; long.beach@thelongbeachexchange.com
Long Beach Senior Center,https://www.longbeach.gov/park/park-and-facilities/directory/long-beach-senior-center,OSM (fill),034799490,Facilities Directory,Director,facilities.directory@longbeach.gov,website,hr-talentacquisition@longbeach.gov; amanda.elek-truman@longbeach.gov; auditor@longbeach.gov; bryce.tyler@longbeach.gov; cityattorney@longbeach.gov; cityclerk@longbeach.gov; citymanager@longbeach.gov; derek.law@longbeach.gov; district1@longbeach.gov; district2@longbeach.gov; district3@longbeach.gov; district4@longbeach.gov; district5@longbeach.gov; district6@longbeach.gov; district7@longbeach.gov; district8@longbeach.gov; district9@longbeach.gov; esenia.rico-tejeda@longbeach.gov; johnny.johnson@longbeach.gov; joleen.richardson@longbeach.gov; lbparks@longbeach.gov; mayor@longbeach.gov; omar.ramos@longbeach.gov; prosecutor@longbeach.gov; sarah.green@longbeach.gov; yesenia.rico-tejeda@longbeach.gov; facilities.directory@longbeach.gov
